FIPS,county,census_2010_count,july1_2014_pop_est,jan1_2015_pop_est,num_chg_10_14,num_chg_10_15,pct_chg_10_14,pct_chg_10_15
209,Hays,157107,183728,187902,26621,30795,16.9,19.6
211,Hemphill,3807,4089,4131,282,324,7.4,8.5
213,Henderson,78532,80426,80705,1894,2173,2.4,2.8
215,Hidalgo,774773,828288,833201,53515,58428,6.9,7.5
217,Hill,35089,35804,36103,715,1014,2.0,2.9
219,Hockley,22935,23528,23509,593,574,2.6,2.5
221,Hood,51182,53544,53793,2362,2611,4.6,5.1
223,Hopkins,35161,36290,36638,1129,1477,3.2,4.2
225,Houston,23732,23335,23305,-397,-427,-1.7,-1.8
227,Howard,35012,36358,36523,1346,1511,3.8,4.3
229,Hudspeth,3476,3346,3296,-130,-180,-3.7,-5.2
231,Hunt,86129,89739,90298,3610,4169,4.2,4.8
233,Hutchinson,22150,21460,21331,-690,-819,-3.1,-3.7
235,Irion,1599,1711,1701,112,102,7.0,6.4
237,Jack,9044,9152,9174,108,130,1.2,1.4
239,Jackson,14075,14698,14776,623,701,4.4,5.0
241,Jasper,35710,35921,36148,211,438,0.6,1.2
243,Jeff Davis,2342,2222,2220,-120,-122,-5.1,-5.2
245,Jefferson,252273,251640,250813,-633,-1460,-0.3,-0.6
247,Jim Hogg,5300,5247,5248,-53,-52,-1.0,-1.0
249,Jim Wells,40838,41672,41586,834,748,2.0,1.8
251,Johnson,150934,159291,160347,8357,9413,5.5,6.2
253,Jones,20202,20031,20195,-171,-7,-0.8,-0.0
255,Karnes,14824,15559,15826,735,1002,5.0,6.8
257,Kaufman,103350,111433,113010,8083,9660,7.8,9.3
259,Kendall,33410,39015,39731,5605,6321,16.8,18.9
261,Kenedy,416,422,423,6,7,1.4,1.7
263,Kent,808,791,785,-17,-23,-2.1,-2.8
265,Kerr,49625,51155,51338,1530,1713,3.1,3.5
267,Kimble,4607,4705,4704,98,97,2.1,2.1
269,King,286,293,295,7,9,2.4,3.1
271,Kinney,3598,3606,3576,8,-22,0.2,-0.6
273,Kleberg,32061,32853,33267,792,1206,2.5,3.8
275,Knox,3719,3794,3790,75,71,2.0,1.9
277,Lamar,49793,50382,50464,589,671,1.2,1.3
279,Lamb,13977,13475,13332,-502,-645,-3.6,-4.6
281,Lampasas,19677,20565,20606,888,929,4.5,4.7
283,La Salle,6886,7609,7739,723,853,10.5,12.4
285,Lavaca,19263,19930,20150,667,887,3.5,4.6
287,Lee,16612,17019,17042,407,430,2.5,2.6
289,Leon,16801,17152,17209,351,408,2.1,2.4
291,Liberty,75643,79376,79544,3733,3901,4.9,5.2
293,Limestone,23384,23879,24186,495,802,2.1,3.4
295,Lipscomb,3302,3559,3602,257,300,7.8,9.1
297,Live Oak,11531,11863,11889,332,358,2.9,3.1
299,Llano,19301,19710,19700,409,399,2.1,2.1
301,Loving,82,82,82,0,0,0.0,0.0
303,Lubbock,278831,295065,296110,16234,17279,5.8,6.2
305,Lynn,5915,5929,6009,14,94,0.2,1.6
307,McCulloch,8283,8306,8291,23,8,0.3,0.1
309,McLennan,234906,245185,246592,10279,11686,4.4,5.0
311,McMullen,707,813,817,106,110,15.0,15.6
313,Madison,13664,14262,14351,598,687,4.4,5.0
315,Marion,10546,10255,10140,-291,-406,-2.8,-3.8
317,Martin,4799,5468,5539,669,740,13.9,15.4
319,Mason,4012,4172,4183,160,171,4.0,4.3
321,Matagorda,36702,36694,36789,-8,87,-0.0,0.2
323,Maverick,54258,56528,56778,2270,2520,4.2,4.6
325,Medina,46006,48865,49271,2859,3265,6.2,7.1
327,Menard,2242,2251,2233,9,-9,0.4,-0.4
329,Midland,136872,155489,157078,18617,20206,13.6,14.8
331,Milam,24757,24378,24376,-379,-381,-1.5,-1.5
333,Mills,4936,4977,4980,41,44,0.8,0.9
335,Mitchell,9403,9087,8980,-316,-423,-3.4,-4.5
337,Montague,19719,19838,19787,119,68,0.6,0.3
339,Montgomery,455746,518689,529558,62943,73812,13.8,16.2
341,Moore,21904,22554,22766,650,862,3.0,3.9
343,Morris,12934,13126,13081,192,147,1.5,1.1
345,Motley,1210,1112,1071,-98,-139,-8.1,-11.5
347,Nacogdoches,64524,65414,65597,890,1073,1.4,1.7
349,Navarro,47735,49485,49630,1750,1895,3.7,4.0
351,Newton,14445,14582,14614,137,169,0.9,1.2
353,Nolan,15216,14947,14906,-269,-310,-1.8,-2.0
355,Nueces,340223,356960,359803,16737,19580,4.9,5.8
357,Ochiltree,10223,10999,11112,776,889,7.6,8.7
359,Oldham,2052,2067,2057,15,5,0.7,0.2
361,Orange,81837,82622,82543,785,706,1.0,0.9
363,Palo Pinto,28111,28689,28743,578,632,2.1,2.2
365,Panola,23796,24257,24264,461,468,1.9,2.0
367,Parker,116927,124670,126500,7743,9573,6.6,8.2
369,Parmer,10269,9818,9740,-451,-529,-4.4,-5.2
371,Pecos,15507,15900,15939,393,432,2.5,2.8
373,Polk,45413,47192,47211,1779,1798,3.9,4.0
375,Potter,121073,123922,123715,2849,2642,2.4,2.2
377,Presidio,7818,7831,7759,13,-59,0.2,-0.8
379,Rains,10914,11202,11287,288,373,2.6,3.4
381,Randall,120725,130027,131281,9302,10556,7.7,8.7
383,Reagan,3367,3731,3773,364,406,10.8,12.1
385,Real,3309,3446,3498,137,189,4.1,5.7
387,Red River,12860,12280,12213,-580,-647,-4.5,-5.0
389,Reeves,13783,13967,14011,184,228,1.3,1.7
391,Refugio,7383,7344,7375,-39,-8,-0.5,-0.1
393,Roberts,929,928,929,-1,0,-0.1,0.0
395,Robertson,16622,17173,17269,551,647,3.3,3.9
397,Rockwall,78337,87342,88498,9005,10161,11.5,13.0
399,Runnels,10501,10411,10476,-90,-25,-0.9,-0.2
401,Rusk,53330,53782,53880,452,550,0.8,1.0
403,Sabine,10834,10969,10933,135,99,1.2,0.9
405,San Augustine,8865,8689,8578,-176,-287,-2.0,-3.2
407,San Jacinto,26384,27701,27773,1317,1389,5.0,5.3
409,San Patricio,64804,65884,66003,1080,1199,1.7,1.9
411,San Saba,6131,6163,6110,32,-21,0.5,-0.3
413,Schleicher,3461,3424,3419,-37,-42,-1.1,-1.2
415,Scurry,16921,17656,17727,735,806,4.3,4.8
417,Shackelford,3378,3383,3369,5,-9,0.1,-0.3
419,Shelby,25448,26120,26178,672,730,2.6,2.9
421,Sherman,3034,3144,3178,110,144,3.6,4.7
423,Smith,209714,217889,218987,8175,9273,3.9,4.4
425,Somervell,8490,8778,8834,288,344,3.4,4.1
427,Starr,60968,62635,62929,1667,1961,2.7,3.2
429,Stephens,9630,9598,9673,-32,43,-0.3,0.4
431,Sterling,1143,1344,1402,201,259,17.6,22.7
433,Stonewall,1490,1446,1459,-44,-31,-3.0,-2.1
435,Sutton,4128,4090,4079,-38,-49,-0.9,-1.2
437,Swisher,7854,7538,7460,-316,-394,-4.0,-5.0
439,Tarrant,1809034,1936494,1949165,127460,140131,7.0,7.7
441,Taylor,131506,135842,136329,4336,4823,3.3,3.7
443,Terrell,984,932,957,-52,-27,-5.3,-2.7
445,Terry,12651,12766,12775,115,124,0.9,1.0
447,Throckmorton,1641,1657,1677,16,36,1.0,2.2
449,Titus,32334,33129,33241,795,907,2.5,2.8
451,Tom Green,110224,115661,116196,5437,5972,4.9,5.4
453,Travis,1024266,1130695,1142032,106429,117766,10.4,11.5
455,Trinity,14585,14261,14315,-324,-270,-2.2,-1.9
457,Tyler,21766,22248,22239,482,473,2.2,2.2
459,Upshur,39309,40323,40423,1014,1114,2.6,2.8
461,Upton,3355,3388,3422,33,67,1.0,2.0
463,Uvalde,26405,27196,27384,791,979,3.0,3.7
465,Val Verde,48879,48498,48482,-381,-397,-0.8,-0.8
467,Van Zandt,52579,53925,54075,1346,1496,2.6,2.8
469,Victoria,86793,91114,91895,4321,5102,5.0,5.9
471,Walker,67861,70679,71324,2818,3463,4.2,5.1
473,Waller,43205,46897,47711,3692,4506,8.5,10.4
475,Ward,10658,11553,11672,895,1014,8.4,9.5
477,Washington,33718,34760,34919,1042,1201,3.1,3.6
479,Webb,250304,269931,271649,19627,21345,7.8,8.5
481,Wharton,41280,41306,41305,26,25,0.1,0.1
483,Wheeler,5410,5828,5824,418,414,7.7,7.7
485,Wichita,131500,133386,133423,1886,1923,1.4,1.5
487,Wilbarger,13535,12888,12742,-647,-793,-4.8,-5.9
489,Willacy,22134,21667,21486,-467,-648,-2.1,-2.9
491,Williamson,422679,476724,483599,54045,60920,12.8,14.4
493,Wilson,42918,46739,47268,3821,4350,8.9,10.1
495,Winkler,7110,7716,7816,606,706,8.5,9.9
497,Wise,59127,61661,61716,2534,2589,4.3,4.4
499,Wood,41964,43547,43684,1583,1720,3.8,4.1
501,Yoakum,7879,8317,8372,438,493,5.6,6.3
503,Young,18550,19113,19134,563,584,3.0,3.1
505,Zapata,14018,14174,14094,156,76,1.1,0.5
507,Zavala,11677,12147,12161,470,484,4.0,4.1
000,State of Texas,25145565,26956959,27213214,1811394,2067649,7.2,8.2
