FIPS,county,census_2010_count,july1_2011_pop_est,jan1_2012_pop_est,num_chg_10_11,num_chg_10_12,pct_chg_10_11,pct_chg_10_12
001,Anderson,58458,58727,58787,269,329,0.5,0.6
003,Andrews,14786,15327,15557,541,771,3.7,5.2
005,Angelina,86771,88214,88814,1443,2043,1.7,2.4
007,Aransas,23158,23334,23383,176,225,0.8,1.0
009,Archer,9054,8913,8856,-141,-198,-1.6,-2.2
011,Armstrong,1901,1935,1942,34,41,1.8,2.2
013,Atascosa,44911,46363,46950,1452,2039,3.2,4.5
015,Austin,28417,28673,28760,256,343,0.9,1.2
017,Bailey,7165,7264,7314,99,149,1.4,2.1
019,Bandera,20485,20676,20738,191,253,0.9,1.2
021,Bastrop,74171,75906,76555,1735,2384,2.3,3.2
023,Baylor,3726,3746,3756,20,30,0.5,0.8
025,Bee,31861,32310,32428,449,567,1.4,1.8
027,Bell,310235,317759,320688,7524,10453,2.4,3.4
029,Bexar,1714773,1756262,1772857,41489,58084,2.4,3.4
031,Blanco,10497,10672,10748,175,251,1.7,2.4
033,Borden,641,646,648,5,7,0.8,1.1
035,Bosque,18212,18356,18400,144,188,0.8,1.0
037,Bowie,92565,93275,93596,710,1031,0.8,1.1
039,Brazoria,313166,319949,322453,6783,9287,2.2,3.0
041,Brazos,194851,198311,199611,3460,4760,1.8,2.4
043,Brewster,9232,9333,9370,101,138,1.1,1.5
045,Briscoe,1637,1652,1660,15,23,0.9,1.4
047,Brooks,7223,7272,7301,49,78,0.7,1.1
049,Brown,38106,38341,38450,235,344,0.6,0.9
051,Burleson,17187,17469,17567,282,380,1.6,2.2
053,Burnet,42750,43348,43554,598,804,1.4,1.9
055,Caldwell,38066,38583,38792,517,726,1.4,1.9
057,Calhoun,21381,21460,21484,79,103,0.4,0.5
059,Callahan,13544,13516,13512,-28,-32,-0.2,-0.2
061,Cameron,406220,414348,417514,8128,11294,2.0,2.8
063,Camp,12401,12467,12467,66,66,0.5,0.5
065,Carson,6182,6281,6317,99,135,1.6,2.2
067,Cass,30464,30401,30366,-63,-98,-0.2,-0.3
069,Castro,8062,8120,8141,58,79,0.7,1.0
071,Chambers,35096,35996,36339,900,1243,2.6,3.5
073,Cherokee,50845,51298,51455,453,610,0.9,1.2
075,Childress,7041,7065,7071,24,30,0.3,0.4
077,Clay,10752,10791,10798,39,46,0.4,0.4
079,Cochran,3127,3110,3107,-17,-20,-0.5,-0.6
081,Coke,3320,3320,3322,0,2,0.0,0.1
083,Coleman,8895,8919,8923,24,28,0.3,0.3
085,Collin,782341,812435,824593,30094,42252,3.8,5.4
087,Collingsworth,3057,3075,3079,18,22,0.6,0.7
089,Colorado,20874,20914,20903,40,29,0.2,0.1
091,Comal,108472,112171,113702,3699,5230,3.4,4.8
093,Comanche,13974,13983,13991,9,17,0.1,0.1
095,Concho,4087,4138,4156,51,69,1.2,1.7
097,Cooke,38437,38675,38762,238,325,0.6,0.8
099,Coryell,75388,76313,76624,925,1236,1.2,1.6
101,Cottle,1505,1518,1521,13,16,0.9,1.1
103,Crane,4375,4409,4420,34,45,0.8,1.0
105,Crockett,3719,3734,3739,15,20,0.4,0.5
107,Crosby,6059,6078,6087,19,28,0.3,0.5
109,Culberson,2398,2393,2391,-5,-7,-0.2,-0.3
111,Dallam,6703,6868,6929,165,226,2.5,3.4
113,Dallas,2368139,2403579,2417033,35440,48894,1.5,2.1
115,Dawson,13833,13849,13837,16,4,0.1,0.0
117,Deaf Smith,19372,19569,19648,197,276,1.0,1.4
119,Delta,5231,5224,5221,-7,-10,-0.1,-0.2
121,Denton,662614,686455,696220,23841,33606,3.6,5.1
123,De Witt,20097,20574,20754,477,657,2.4,3.3
125,Dickens,2444,2441,2437,-3,-7,-0.1,-0.3
127,Dimmit,9996,10472,10679,476,683,4.8,6.8
129,Donley,3677,3686,3687,9,10,0.2,0.3
131,Duval,11782,11806,11781,24,-1,0.2,-0.0
133,Eastland,18583,18564,18560,-19,-23,-0.1,-0.1
135,Ector,137130,139259,140084,2129,2954,1.6,2.2
137,Edwards,2002,2017,2022,15,20,0.7,1.0
139,Ellis,149610,153134,154475,3524,4865,2.4,3.3
141,El Paso,800647,821525,829889,20878,29242,2.6,3.7
143,Erath,37890,38621,38913,731,1023,1.9,2.7
145,Falls,17866,17899,17918,33,52,0.2,0.3
147,Fannin,33915,34237,34357,322,442,0.9,1.3
149,Fayette,24554,25358,25693,804,1139,3.3,4.6
151,Fisher,3974,3951,3936,-23,-38,-0.6,-1.0
153,Floyd,6446,6445,6445,-1,-1,-0.0,-0.0
155,Foard,1336,1346,1349,10,13,0.7,1.0
157,Fort Bend,585375,607995,617232,22620,31857,3.9,5.4
159,Franklin,10605,10639,10656,34,51,0.3,0.5
161,Freestone,19816,20022,20104,206,288,1.0,1.5
