FIPS,county,census_2010_count,july1_2011_pop_est,jan1_2012_pop_est,num_chg_10_11,num_chg_10_12,pct_chg_10_11,pct_chg_10_12
163,Frio,17217,17634,17790,417,573,2.4,3.3
165,Gaines,17526,17844,17975,318,449,1.8,2.6
167,Galveston,291309,296345,298351,5036,7042,1.7,2.4
169,Garza,6461,6537,6563,76,102,1.2,1.6
171,Gillespie,24837,25201,25352,364,515,1.5,2.1
173,Glasscock,1226,1242,1249,16,23,1.3,1.9
175,Goliad,7210,7300,7327,90,117,1.2,1.6
177,Gonzales,19807,20157,20302,350,495,1.8,2.5
179,Gray,22535,22760,22855,225,320,1.0,1.4
181,Grayson,120877,121800,122150,923,1273,0.8,1.1
183,Gregg,121730,123239,123855,1509,2125,1.2,1.7
185,Grimes,26604,27062,27240,458,636,1.7,2.4
187,Guadalupe,131533,136116,137956,4583,6423,3.5,4.9
189,Hale,36273,36664,36783,391,510,1.1,1.4
191,Hall,3353,3408,3429,55,76,1.6,2.3
193,Hamilton,8517,8585,8614,68,97,0.8,1.1
195,Hansford,5613,5623,5627,10,14,0.2,0.2
197,Hardeman,4139,4101,4080,-38,-59,-0.9,-1.4
199,Hardin,54635,55492,55811,857,1176,1.6,2.2
201,Harris,4092459,4176764,4209769,84305,117310,2.1,2.9
203,Harrison,65631,66527,66875,896,1244,1.4,1.9
205,Hartley,6062,6075,6074,13,12,0.2,0.2
207,Haskell,5899,5919,5930,20,31,0.3,0.5
209,Hays,157107,163839,166585,6732,9478,4.3,6.0
211,Hemphill,3807,3865,3883,58,76,1.5,2.0
213,Henderson,78532,79194,79456,662,924,0.8,1.2
215,Hidalgo,774769,798286,807655,23517,32886,3.0,4.2
217,Hill,35089,35640,35861,551,772,1.6,2.2
219,Hockley,22935,23018,23048,83,113,0.4,0.5
221,Hood,51182,52105,52459,923,1277,1.8,2.5
223,Hopkins,35161,35489,35614,328,453,0.9,1.3
225,Houston,23732,23752,23760,20,28,0.1,0.1
227,Howard,35012,35172,35205,160,193,0.5,0.6
229,Hudspeth,3476,3500,3512,24,36,0.7,1.0
231,Hunt,86129,87214,87636,1085,1507,1.3,1.7
233,Hutchinson,22150,22190,22236,40,86,0.2,0.4
235,Irion,1599,1641,1659,42,60,2.6,3.8
237,Jack,9044,9105,9127,61,83,0.7,0.9
239,Jackson,14075,14110,14114,35,39,0.2,0.3
241,Jasper,35710,35918,36001,208,291,0.6,0.8
243,Jeff Davis,2342,2387,2406,45,64,1.9,2.7
245,Jefferson,252273,253151,253398,878,1125,0.3,0.4
247,Jim Hogg,5300,5318,5325,18,25,0.3,0.5
249,Jim Wells,40838,41585,41869,747,1031,1.8,2.5
251,Johnson,150934,153383,154349,2449,3415,1.6,2.3
253,Jones,20202,20289,20258,87,56,0.4,0.3
255,Karnes,14824,15000,15063,176,239,1.2,1.6
257,Kaufman,103350,105343,106116,1993,2766,1.9,2.7
259,Kendall,33410,34622,35097,1212,1687,3.6,5.0
261,Kenedy,416,428,434,12,18,2.9,4.3
263,Kent,808,809,808,1,0,0.1,0.0
265,Kerr,49625,49914,50003,289,378,0.6,0.8
267,Kimble,4607,4642,4658,35,51,0.8,1.1
269,King,286,288,290,2,4,0.7,1.4
271,Kinney,3598,3670,3706,72,108,2.0,3.0
273,Kleberg,32061,32190,32241,129,180,0.4,0.6
275,Knox,3719,3644,3617,-75,-102,-2.0,-2.7
277,Lamar,49793,50190,50350,397,557,0.8,1.1
279,Lamb,13977,14092,14131,115,154,0.8,1.1
281,Lampasas,19677,19928,20025,251,348,1.3,1.8
283,La Salle,6886,7071,7141,185,255,2.7,3.7
285,Lavaca,19263,19567,19690,304,427,1.6,2.2
287,Lee,16612,16680,16696,68,84,0.4,0.5
289,Leon,16801,17141,17267,340,466,2.0,2.8
291,Liberty,75643,75923,76013,280,370,0.4,0.5
293,Limestone,23384,23716,23858,332,474,1.4,2.0
295,Lipscomb,3302,3351,3363,49,61,1.5,1.8
297,Live Oak,11531,11721,11798,190,267,1.6,2.3
299,Llano,19301,19501,19575,200,274,1.0,1.4
301,Loving,82,83,83,1,1,1.2,1.2
303,Lubbock,278831,283151,284834,4320,6003,1.5,2.2
305,Lynn,5915,5923,5924,8,9,0.1,0.2
307,McCulloch,8283,8323,8336,40,53,0.5,0.6
309,McLennan,234906,238338,239732,3432,4826,1.5,2.1
311,McMullen,707,832,890,125,183,17.7,25.9
313,Madison,13664,13745,13758,81,94,0.6,0.7
315,Marion,10546,10596,10615,50,69,0.5,0.7
317,Martin,4799,4817,4819,18,20,0.4,0.4
319,Mason,4012,4055,4076,43,64,1.1,1.6
321,Matagorda,36702,36838,36900,136,198,0.4,0.5
323,Maverick,54258,55363,55792,1105,1534,2.0,2.8
325,Medina,46006,46391,46524,385,518,0.8,1.1
327,Menard,2242,2270,2283,28,41,1.2,1.8
329,Midland,136872,140462,141893,3590,5021,2.6,3.7
331,Milam,24757,24915,24990,158,233,0.6,0.9
333,Mills,4936,4969,4983,33,47,0.7,1.0
335,Mitchell,9403,9439,9461,36,58,0.4,0.6
337,Montague,19719,19795,19799,76,80,0.4,0.4
339,Montgomery,455746,471894,478354,16148,22608,3.5,5.0
341,Moore,21904,21995,22036,91,132,0.4,0.6
343,Morris,12934,12964,12970,30,36,0.2,0.3
345,Motley,1210,1185,1175,-25,-35,-2.1,-2.9
347,Nacogdoches,64524,65260,65546,736,1022,1.1,1.6
349,Navarro,47735,48304,48534,569,799,1.2,1.7
351,Newton,14445,14523,14557,78,112,0.5,0.8
353,Nolan,15216,15303,15326,87,110,0.6,0.7
355,Nueces,340223,346340,348746,6117,8523,1.8,2.5
357,Ochiltree,10223,10377,10442,154,219,1.5,2.1
359,Oldham,2052,2079,2090,27,38,1.3,1.9
361,Orange,81837,82033,82114,196,277,0.2,0.3
363,Palo Pinto,28111,28295,28375,184,264,0.7,0.9
365,Panola,23796,24016,24123,220,327,0.9,1.4
367,Parker,116927,119530,120579,2603,3652,2.2,3.1
369,Parmer,10269,10338,10377,69,108,0.7,1.1
371,Pecos,15507,15520,15507,13,0,0.1,0.0
373,Polk,45413,45605,45672,192,259,0.4,0.6
375,Potter,121073,122300,122754,1227,1681,1.0,1.4
377,Presidio,7818,7901,7927,83,109,1.1,1.4
379,Rains,10914,11065,11122,151,208,1.4,1.9
381,Randall,120725,123899,125225,3174,4500,2.6,3.7
383,Reagan,3367,3388,3396,21,29,0.6,0.9
385,Real,3309,3387,3416,78,107,2.4,3.2
387,Red River,12860,12839,12824,-21,-36,-0.2,-0.3
389,Reeves,13783,13832,13851,49,68,0.4,0.5
391,Refugio,7383,7391,7399,8,16,0.1,0.2
393,Roberts,929,934,936,5,7,0.5,0.8
395,Robertson,16622,17021,17189,399,567,2.4,3.4
397,Rockwall,78337,81204,82363,2867,4026,3.7,5.1
399,Runnels,10501,10569,10597,68,96,0.6,0.9
401,Rusk,53330,53806,53997,476,667,0.9,1.3
403,Sabine,10834,10929,10965,95,131,0.9,1.2
405,San Augustine,8865,8909,8927,44,62,0.5,0.7
407,San Jacinto,26384,26785,26946,401,562,1.5,2.1
409,San Patricio,64804,64974,65045,170,241,0.3,0.4
411,San Saba,6131,6176,6202,45,71,0.7,1.2
413,Schleicher,3461,3472,3472,11,11,0.3,0.3
415,Scurry,16921,16983,16973,62,52,0.4,0.3
417,Shackelford,3378,3383,3385,5,7,0.1,0.2
419,Shelby,25448,25787,25933,339,485,1.3,1.9
421,Sherman,3034,3067,3083,33,49,1.1,1.6
423,Smith,209714,213578,215085,3864,5371,1.8,2.6
425,Somervell,8490,8618,8661,128,171,1.5,2.0
427,Starr,60968,61804,62114,836,1146,1.4,1.9
429,Stephens,9630,9627,9627,-3,-3,-0.0,-0.0
431,Sterling,1143,1158,1161,15,18,1.3,1.6
433,Stonewall,1490,1475,1470,-15,-20,-1.0,-1.3
435,Sutton,4128,4151,4163,23,35,0.6,0.8
437,Swisher,7854,7860,7860,6,6,0.1,0.1
439,Tarrant,1809034,1848382,1863771,39348,54737,2.2,3.0
441,Taylor,131506,132380,132764,874,1258,0.7,1.0
443,Terrell,984,983,980,-1,-4,-0.1,-0.4
445,Terry,12651,12746,12793,95,142,0.8,1.1
447,Throckmorton,1641,1623,1613,-18,-28,-1.1,-1.7
449,Titus,32334,32680,32801,346,467,1.1,1.4
451,Tom Green,110224,111001,111298,777,1074,0.7,1.0
453,Travis,1024266,1049785,1059887,25519,35621,2.5,3.5
455,Trinity,14585,14667,14683,82,98,0.6,0.7
457,Tyler,21766,21882,21910,116,144,0.5,0.7
459,Upshur,39309,39851,40048,542,739,1.4,1.9
461,Upton,3355,3366,3371,11,16,0.3,0.5
463,Uvalde,26405,26466,26481,61,76,0.2,0.3
465,Val Verde,48879,49216,49334,337,455,0.7,0.9
467,Van Zandt,52579,52814,52905,235,326,0.4,0.6
469,Victoria,86793,87393,87596,600,803,0.7,0.9
471,Walker,67861,68220,68277,359,416,0.5,0.6
473,Waller,43205,43886,44148,681,943,1.6,2.2
475,Ward,10658,10804,10862,146,204,1.4,1.9
477,Washington,33718,33999,34101,281,383,0.8,1.1
479,Webb,250304,259539,263269,9235,12965,3.7,5.2
481,Wharton,41280,41293,41288,13,8,0.0,0.0
483,Wheeler,5410,5471,5492,61,82,1.1,1.5
485,Wichita,131500,131595,131649,95,149,0.1,0.1
487,Wilbarger,13535,13506,13497,-29,-38,-0.2,-0.3
489,Willacy,22134,22191,22184,57,50,0.3,0.2
491,Williamson,422679,440932,448354,18253,25675,4.3,6.1
493,Wilson,42918,44538,45220,1620,2302,3.8,5.4
495,Winkler,7110,7139,7157,29,47,0.4,0.7
497,Wise,59127,60379,60849,1252,1722,2.1,2.9
499,Wood,41964,42141,42182,177,218,0.4,0.5
501,Yoakum,7879,7947,7959,68,80,0.9,1.0
503,Young,18550,18633,18656,83,106,0.4,0.6
505,Zapata,14018,14245,14320,227,302,1.6,2.2
507,Zavala,11677,11794,11832,117,155,1.0,1.3
000,State of Texas,25145561,25674681,25883305,529120,737744,2.1,2.9
